,avg_away_attend,avg_home_attend,avg_overall_attend,home_games,pctcap_away_attend,pctcap_home_attend,pctcap_overall_attend,rank,team_name,total_away_attend,total_home_attend,total_overall_attend,year,est_cap_home
187,16122,15532,15827,40,0.0,0.0,0.0,18,Nuggets,40,621296,80,2000,0
188,16499,15343,15928,40,0.0,0.0,0.0,19,Bucks,41,613731,81,2000,0
189,16738,15207,15973,40,0.0,0.0,0.0,20,Rockets,40,608309,80,2000,0
190,16340,15008,15674,40,0.0,0.0,0.0,21,Thunder,40,600357,80,2000,0
191,16198,14982,15590,40,0.0,0.0,0.0,22,Wizards,40,599289,80,2000,0
192,16240,14745,15493,40,0.0,0.0,0.0,23,Hawks,40,589826,80,2000,0
193,16653,14730,15691,40,0.0,0.0,0.0,24,Cavaliers,40,589221,80,2000,0
194,15818,14699,15259,40,0.0,0.0,0.0,25,Mavericks,40,587987,80,2000,0
195,16224,13996,15124,40,0.0,0.0,0.0,26,Magic,41,559864,81,2000,0
196,16035,13899,14954,41,0.0,0.0,0.0,27,Grizzlies,40,569864,81,2000,0
197,15912,13518,14715,40,0.0,0.0,0.0,28,Clippers,40,540750,80,2000,0
198,15821,12373,14118,40,0.0,0.0,0.0,29,Warriors,41,494940,81,2000,0
199,16690,22272,19481,41,0.0,0.0,0.0,1,Spurs,41,913175,82,2001,0
200,16336,21674,19005,41,0.0,0.0,0.0,2,Bulls,41,888654,82,2001,0
201,17037,20277,18657,41,0.0,0.0,0.0,3,Trail Blazers,41,831385,82,2001,0
202,17680,19763,18721,41,0.0,0.0,0.0,4,NY Knicks,41,810283,82,2001,0
203,18582,19651,19116,41,0.0,0.0,0.0,5,76ers,41,805692,82,2001,0
204,17611,19347,18479,41,0.0,0.0,0.0,6,Raptors,41,793256,82,2001,0
205,16989,19321,18155,41,0.0,0.0,0.0,7,Jazz,41,792196,82,2001,0
206,19628,18935,19281,41,0.0,0.0,0.0,8,Lakers,41,776336,82,2001,0
207,17157,17989,17573,41,0.0,0.0,0.0,9,Suns,41,737586,82,2001,0
208,16508,17888,17198,41,0.0,0.0,0.0,10,Pacers,41,733444,82,2001,0
209,16787,17496,17142,41,0.0,0.0,0.0,11,Timberwolves,41,717371,82,2001,0
210,18438,17317,17877,41,0.0,0.0,0.0,12,Kings,41,709997,82,2001,0
211,16584,16661,16623,41,0.0,0.0,0.0,13,Bucks,41,683125,82,2001,0
212,15761,16588,16175,41,0.0,0.0,0.0,14,Mavericks,41,680138,82,2001,0
213,17046,16516,16781,41,0.0,0.0,0.0,15,Heat,41,677186,82,2001,0
214,16064,15872,15968,41,0.0,0.0,0.0,16,Cavaliers,41,650775,82,2001,0
215,16497,15630,16063,41,0.0,0.0,0.0,17,Thunder,41,640847,82,2001,0
216,15872,15576,15724,41,0.0,0.0,0.0,18,Wizards,41,638653,82,2001,0
217,16436,15346,15891,41,0.0,0.0,0.0,19,Celtics,41,629201,82,2001,0
218,16403,15104,15754,41,0.0,0.0,0.0,20,Nuggets,41,619300,82,2001,0
219,16500,15010,15755,41,0.0,0.0,0.0,21,Pelicans,41,615424,82,2001,0
220,16397,14812,15604,41,0.0,0.0,0.0,22,Pistons,41,607323,82,2001,0
221,16810,14756,15783,41,0.0,0.0,0.0,23,Magic,41,605031,82,2001,0
222,15823,14620,15222,41,0.0,0.0,0.0,24,Clippers,41,599448,82,2001,0
223,16058,14438,15248,41,0.0,0.0,0.0,25,Warriors,41,591981,82,2001,0
224,16085,13806,14946,41,0.0,0.0,0.0,26,Nets,41,566077,82,2001,0
225,15822,13737,14779,41,0.0,0.0,0.0,27,Grizzlies,41,563218,82,2001,0
226,16403,13666,15035,41,0.0,0.0,0.0,28,Hawks,41,560324,82,2001,0
227,16714,12647,14680,41,0.0,0.0,0.0,29,Rockets,41,518555,82,2001,0
