,avg_away_attend,avg_home_attend,avg_overall_attend,home_games,pctcap_away_attend,pctcap_home_attend,pctcap_overall_attend,rank,team_name,total_away_attend,total_home_attend,total_overall_attend,year,est_cap_home
98,16620.0,15550.0,16085.0,41,0.0,0.0,0.0,21,Boston,41,637575,82,1997,0
99,16017.0,15377.0,15697.0,41,0.0,0.0,0.0,22,Ottawa,41,630469,82,1997,0
100,16739.0,14703.0,15721.0,41,0.0,0.0,0.0,23,Florida,41,602823,82,1997,0
101,16676.0,13680.0,15178.0,41,0.0,0.0,0.0,24,Carolina,41,560914,82,1997,0
102,17016.0,12494.0,14755.0,41,0.0,0.0,0.0,25,NY Islanders,41,512279,82,1997,0
103,16010.0,12297.0,14153.0,41,0.0,0.0,0.0,26,Los Angeles,41,504190,82,1997,0
104,16095.0,20771.0,18433.0,41,0.0,0.0,0.0,1,Montreal,41,851645,82,1998,0
105,17336.0,19983.0,18659.0,41,0.0,0.0,0.0,2,Detroit,41,819303,82,1998,0
106,16719.0,19518.0,18118.0,41,0.0,0.0,0.0,3,Philadelphia,41,800255,82,1998,0
107,0.0,0.0,0.0,755014,82.0,41.0,,4,41,16329,18414,17372,1998,"0      NaN
1      NaN
2      NaN
3      NaN
4      NaN
5      0.0
6      NaN
7      NaN
8      NaN
9      NaN
10     NaN
11     NaN
12     NaN
13     NaN
14     NaN
15     NaN
16     NaN
17     NaN
18     NaN
19     NaN
20     NaN
21     NaN
22     NaN
23     NaN
24     NaN
25     NaN
26     NaN
27     NaN
28     NaN
29     0.0
      ... 
635    0.0
636    0.0
637    0.0
638    0.0
639    0.0
640    0.0
641    0.0
642    0.0
643    0.0
644    0.0
645    0.0
646    0.0
647    0.0
648    0.0
649    0.0
650    0.0
651    0.0
652    0.0
653    0.0
654    0.0
655    0.0
656    0.0
657    0.0
658    0.0
659    0.0
660    0.0
661    0.0
662    0.0
663    0.0
664    0.0
Name: pctcap_home_attend, dtype: float64"
108,16605.0,18350.0,17478.0,41,0.0,0.0,0.0,5,Chicago,41,752381,82,1998,0
109,17478.0,18189.0,17833.0,41,0.0,0.0,0.0,6,NY Rangers,41,745768,82,1998,0
110,16026.0,17296.0,16661.0,41,0.0,0.0,0.0,7,New Jersey,41,709160,82,1998,0
111,16063.0,17111.0,16587.0,41,0.0,0.0,0.0,8,San Jose,41,701569,82,1998,0
112,15848.0,16957.0,16402.0,41,0.0,0.0,0.0,9,Vancouver,41,695268,82,1998,0
